source,eval_id,track,domain,system_id,embedding_model,generator_model,judge_model,failure_type,failed_assertion,count
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,context_precision,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,evidence_recall,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,answer_correctness,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,citation_validity,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,context_bloat,failure_free,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,answer_correctness,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,citation_validity,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,context_precision,1
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,evidence_recall,2
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,generation_hallucination,failure_free,2
