source,eval_id,track,domain,category,system_id,rag_method,embedding_model,generator_model,judge_model,questions,passed,failed,pass_rate,score,answer_correctness,evidence_recall,context_precision,citation_validity,failure_rate
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,finance,table_numeric,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,4,4,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,calculation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,67,9,58,0.13432835820895522,0.27446102819237145,0.13432835820895522,0.18407960199004975,0.05970149253731343,0.13432835820895522,0.8656716417910447
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,direct_lookup,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,19,14,5,0.7368421052631579,0.6929824561403509,0.7368421052631579,0.7368421052631579,0.21052631578947367,0.7368421052631579,0.2631578947368421
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,section_navigation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,50,32,18,0.64,0.6275,0.64,0.67,0.175,0.64,0.36
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,table_numeric,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,14,3,11,0.21428571428571427,0.31845238095238093,0.21428571428571427,0.21428571428571427,0.05357142857142857,0.21428571428571427,0.7857142857142857
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,calculation,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,67,12,55,0.1791044776119403,0.3111525704809287,0.1791044776119403,0.24378109452736318,0.08582089552238806,0.1791044776119403,0.8208955223880597
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,direct_lookup,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,14,5,0.7368421052631579,0.6973684210526315,0.7368421052631579,0.7631578947368421,0.21052631578947367,0.7368421052631579,0.2631578947368421
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,section_navigation,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,50,30,20,0.6,0.5991666666666666,0.6,0.63,0.165,0.6,0.4
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,table_numeric,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,14,4,10,0.2857142857142857,0.3988095238095238,0.2857142857142857,0.42857142857142855,0.10714285714285714,0.2857142857142857,0.7142857142857143
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,calculation,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,67,16,51,0.23880597014925373,0.3542703150912106,0.23880597014925373,0.2935323383084577,0.11567164179104478,0.23880597014925373,0.7611940298507462
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,direct_lookup,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,19,9,10,0.47368421052631576,0.5087719298245614,0.47368421052631576,0.5,0.13157894736842105,0.47368421052631576,0.5263157894736842
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,section_navigation,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,50,29,21,0.58,0.5825,0.58,0.6,0.155,0.58,0.42
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,financebench-open-source,table_numeric,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,14,2,12,0.14285714285714285,0.28273809523809523,0.14285714285714285,0.21428571428571427,0.05357142857142857,0.14285714285714285,0.8571428571428571
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,direct_lookup,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.8819444444444444,1.0,1.0,0.29166666666666663,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,global_summary,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,1,0,1,0.0,0.25555555555555554,0.0,0.2,0.3333333333333333,0.0,1.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_document,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6041666666666666,0.5,0.75,0.375,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_section,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.5833333333333334,0.5,0.75,0.25,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,no_answer,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6666666666666666,0.5,0.5,0.0,1.0,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,section_navigation,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,9,5,4,0.5555555555555556,0.5817901234567902,0.5555555555555556,0.5555555555555556,0.2685185185185185,0.5555555555555556,0.4444444444444444
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,table_numeric,bm25,bm25,none,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.8819444444444444,1.0,1.0,0.29166666666666663,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,direct_lookup,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.8819444444444444,1.0,1.0,0.29166666666666663,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,global_summary,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,1,0,1,0.0,0.25555555555555554,0.0,0.2,0.3333333333333333,0.0,1.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_document,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6041666666666666,0.5,0.75,0.375,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_section,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.8958333333333333,1.0,1.0,0.375,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,no_answer,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6666666666666666,0.5,0.5,0.0,1.0,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,section_navigation,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,9,9,0,1.0,0.9320987654320988,1.0,1.0,0.5925925925925926,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,table_numeric,hybrid,hybrid,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,direct_lookup,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,global_summary,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,1,0,1,0.0,0.31666666666666665,0.0,0.4,0.5,0.0,1.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_document,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6041666666666666,0.5,0.75,0.375,0.5,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,multi_section,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.8958333333333333,1.0,1.0,0.375,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,no_answer,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,1,1,0.5,0.6666666666666666,0.5,0.5,0.0,1.0,0.5
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,section_navigation,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,9,9,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
promptfoo,eval-wF9-2026-05-08T11:38:13,end-to-end,general-docs,table_numeric,pageindex-oss,pageindex-oss,bge-m3-proxy,reasoning-oss-llm,exact-match-gold,2,2,0,1.0,0.875,1.0,1.0,0.25,1.0,0.0
